,location,total_sqft,bath,price,bhk
0,other,2770.0,4.0,290.0,3
3,other,600.0,1.0,38.0,1
6,other,1500.0,2.0,185.0,2
7,other,840.0,2.0,45.0,2
8,other,4395.0,3.0,240.0,3
9,other,845.0,2.0,55.0,2
10,other,2511.0,3.0,205.0,3
11,other,1660.0,2.0,105.0,3
13,other,1200.0,2.0,65.0,2
14,other,1200.0,3.0,90.0,3
18,other,782.0,2.0,55.68,2
19,other,1800.0,3.0,120.0,3
20,other,1413.0,2.0,75.0,3
21,other,945.0,2.0,54.0,2
22,other,1870.0,3.0,110.0,3
23,other,1260.0,2.0,85.05,3
25,other,2795.0,4.0,235.0,3
27,other,1904.0,3.0,150.0,3
28,other,2000.0,3.0,175.0,3
31,other,1500.0,3.0,100.0,3
33,other,1783.0,3.0,115.0,3
34,other,912.0,2.0,70.0,3
37,other,1580.0,3.0,100.0,3
38,other,1415.0,3.0,78.0,3
40,other,2405.0,4.0,260.0,3
41,other,1500.0,2.0,115.0,2
46,other,1060.0,2.0,60.0,2
47,other,2600.0,8.0,180.0,8
49,other,1285.0,2.0,72.5,2
50,other,4050.0,3.0,280.0,3
53,other,1280.0,2.0,69.0,2
54,other,3045.0,3.0,170.0,3
57,other,900.0,2.0,110.0,2
62,other,1560.0,3.0,115.0,3
65,other,1200.0,4.0,165.0,4
67,other,1645.0,3.0,95.0,3
68,other,1200.0,2.0,79.0,2
70,other,1350.0,2.0,140.0,3
71,other,1800.0,3.0,150.0,3
73,other,1762.0,3.0,125.0,3
75,other,1200.0,3.0,90.0,3
76,other,2023.71,3.0,275.0,3
82,other,2150.0,4.0,240.0,3
85,other,3309.0,4.0,325.0,4
86,other,5000.0,9.0,360.0,11
88,other,1150.0,2.0,126.0,2
91,other,1200.0,2.0,74.0,2
94,other,1753.0,3.0,120.0,3
96,other,720.0,2.0,45.0,2
99,other,1200.0,3.0,165.0,4
100,other,700.0,1.0,41.0,1
102,other,1595.0,3.0,115.0,3
103,other,1353.0,2.0,110.0,2
104,other,1200.0,2.0,85.0,1
107,other,1325.0,2.0,90.0,3
110,other,1056.0,2.0,80.0,2
112,other,1600.0,3.0,86.0,3
114,other,1544.0,3.0,120.0,3
115,other,1200.0,2.0,65.0,2
116,other,540.0,1.0,36.0,1
117,other,1578.0,3.0,180.0,3
119,other,1600.0,2.0,115.0,2
120,other,416.0,1.0,18.5,1
123,other,834.0,1.0,60.0,1
124,other,1125.0,4.0,70.0,3
125,other,3000.0,5.0,260.0,4
126,other,2160.0,5.0,250.0,6
128,other,469.0,1.0,25.0,1
133,other,1630.0,2.0,200.0,2
135,other,1200.0,2.0,70.0,3
136,other,1350.0,3.0,77.0,3
137,other,4046.0,4.0,445.0,4
138,other,1180.0,2.0,78.34,3
139,other,1355.0,2.0,115.0,2
140,other,600.0,1.0,50.0,1
141,other,1875.0,3.0,165.0,3
142,other,600.0,2.0,55.0,2
145,other,1750.0,3.0,120.0,3
148,other,1092.0,2.0,98.5,3
151,other,1855.0,3.0,225.0,3
155,other,425.0,1.0,20.03,1
157,other,600.0,1.0,60.0,1
158,other,1468.0,2.0,140.0,2
159,other,4300.0,5.0,550.0,4
161,other,775.0,2.0,55.0,2
164,other,1352.0,3.0,135.0,3
166,other,1200.0,3.0,95.0,4
167,other,1976.0,3.0,184.0,3
168,other,5500.0,4.0,600.0,4
169,other,1200.0,3.0,95.0,3
172,other,1180.0,2.0,69.0,2
173,other,686.0,1.0,17.0,1
175,other,1500.0,4.0,180.0,4
177,other,1282.0,2.0,87.0,2
179,other,1500.0,2.0,95.0,3
180,other,1300.0,1.0,115.0,2
181,other,530.0,1.0,20.0,1
182,other,1350.0,2.0,80.0,2
184,other,2400.0,6.0,125.0,8
186,other,1141.0,2.0,62.0,2
189,other,950.0,1.0,40.0,1
196,other,1480.0,3.0,90.0,3
197,other,1600.0,3.0,90.0,3
198,other,1200.0,4.0,135.0,4
200,other,1500.0,3.0,115.0,3
201,other,1824.0,3.0,125.0,3
202,other,750.0,1.0,56.25,1
209,other,6000.0,5.0,400.0,4
210,other,2400.0,3.0,170.0,3
212,other,1500.0,2.0,98.0,3
213,other,3095.0,3.0,350.0,3
215,other,1200.0,1.0,28.0,1
216,other,1500.0,3.0,100.0,3
218,other,1560.0,5.0,145.0,5
220,other,1560.0,3.0,188.0,3
223,other,485.0,1.0,15.0,1
229,other,1200.0,3.0,130.0,3
230,other,1050.0,2.0,67.0,2
231,other,1596.0,3.0,105.0,3
235,other,1200.0,3.0,85.0,3
236,other,1132.0,2.0,67.0,2
238,other,1515.0,3.0,88.0,3
241,other,1380.0,2.0,80.0,2
244,other,4346.0,5.0,500.0,4
246,other,2200.0,3.0,187.0,3
247,other,3329.0,3.0,330.0,3
248,other,3600.0,4.0,300.0,4
249,other,3500.0,3.0,450.0,4
251,other,1093.0,2.0,65.0,2
253,other,1535.0,3.0,95.0,3
255,other,1100.0,2.0,62.7,2
258,other,2197.0,4.0,280.0,3
260,other,1100.0,2.0,60.0,2
261,other,1600.0,3.0,172.0,4
262,other,1450.0,2.0,85.0,3
